Name,Size,SKU,Category,Billing Price,MRP,Stock
Lucky Chocolate Kalkiri,250 ml,LCK250,Kalkiri,200,230,1000
Lucky Vanilla Kalkiri,250 ml,LVK250,Kalkiri,200,230,1000
Lucky Falooda Kalkiri,250 ml,LFK250,Kalkiri,200,230,1000
Lucky Mango Kalkiri,250 ml,LMK250,Kalkiri,200,230,1000
Lucky Cardamom Kalkiri,250 ml,LCARDK250,Kalkiri,200,230,1000
Lucky Chocolate Kalkiri,180 ml,LCK180,Kalkiri,140,160,1000
Lucky Vanilla Kalkiri,180 ml,LVK180,Kalkiri,140,160,1000
Lucky Mixed Fruit,200 ml,LMF200,Juice,130,150,1000
Lucky Mango,200 ml,LM200,Juice,130,150,1000
Lucky Aloe Vera,200 ml,LAV200,Juice,130,150,1000
